col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
0,0,TypeA,54800,000000000000000000000011111111110000000000000000000000111111111100000000000000011111111100000000000000000000000000000000111111110000000000000000000000111111111100000000,0,0
1,1,TypeB,36800,000000000000011110000000000000000000000000000000001111111100000000000000000000000000111100000000000000000000000000000000111111110000000000000000111111110000000000000000,0,0
2,2,TypeB,36800,000000000000011110000000000000000000000000000000001111111100000000000000000000000000111100000000000000000000000000000000111111110000000000000000111111110000000000000000,0,0
3,0,TypeA,56300,001111111110000000000011111111110000000000000000000000111111111100000000000000011111111100000000000000000000000000000000111111111000000000000000000000000000000000000000,0,0
4,3,TypeC,27300,001110000000000000000011100000000000000000000000000000000000000000000000001111110000000000000000000000000111111000000000000000001111110000000000000000000000000000000000,0,0
5,4,TypeC,27300,001110000000000000000011100000000000000000000000000000000000000000000000001111110000000000000000000000000111111000000000000000001111110000000000000000000000000000000000,0,0
6,0,TypeA,50000,000011111111110000000000000000011111111110000000000000000111111110000000000000011111111100000000000000000000000000000000000000000000000000000000000000000011111111110000,0,0
7,1,TypeB,36400,000000111111110000000000000011110000000000000000000000000111111100000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000111111110000,0,0
8,2,TypeB,36400,000000111111110000000000000011110000000000000000000000000111111100000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000111111110000,0,0
9,3,TypeC,30100,000000000011110000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000001111110000000000000000000000000111110000,0,0
10,4,TypeC,30100,000000000011110000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000001111110000000000000000000000000111110000,0,0
11,3,TypeC,25000,000000000000011100000000000011110000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000000001111110000000000000000000000000111111000,0,0
12,4,TypeC,25000,000000000000011100000000000011110000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000000001111110000000000000000000000000111111000,0,0
13,0,TypeA,54400,000011111111110000000000000000011111111110000000000000000000000000000000000000011111111100000000000000000000000111111111100000000000000000000000000000111111111100000000,0,0
