col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
0,2,TypeB,34200,000000000000000000000000000000000000000000111111110000000001111110000000000000111111110000000000000111111100000000000000000000000000011110000000000000000000000000000000,0,0
1,3,TypeC,27500,000000000000000000000001111000000000000000000000000000000000000000000000011111100000000000011111000000000000000000000000000011111000000000000000000000001111110000000000,0,0
2,4,TypeC,27500,000000000000000000000001111000000000000000000000000000000000000000000000011111100000000000011111000000000000000000000000000011111000000000000000000000001111110000000000,0,0
3,1,TypeB,37000,000000001111111100000000001111111100000000000000000000000001111110000000000000111111110000000000000111111100000000000000000000000000000000000000000000000000000000000000,0,0
4,2,TypeB,37000,000000001111111100000000001111111100000000000000000000000001111110000000000000111111110000000000000111111100000000000000000000000000000000000000000000000000000000000000,0,0
5,3,TypeC,27800,000000000000000000000001111000000000000000000000000000000000000000000000011111100000000000011111000000000000000000000000000011111000000000000000000000000001111110000000,0,0
6,4,TypeC,27800,000000000000000000000001111000000000000000000000000000000000000000000000011111100000000000011111000000000000000000000000000011111000000000000000000000000001111110000000,0,0
7,0,TypeA,57500,000000000000000000000001111111111000000000000000000000011111111110000000000000000000000000000000000000111111111100000000000011111111110000000000000011111111110000000000,1,0
8,1,TypeB,34200,000000000000000000111111100000000000000000000000001111111000000000000000000000111111110000000000000111111100000000000000000000000000011110000000000000000000000000000000,0,0
9,2,TypeB,34200,000000000000000000111111100000000000000000000000001111111000000000000000000000111111110000000000000111111100000000000000000000000000011110000000000000000000000000000000,0,0
10,3,TypeC,29800,000000000000000000000000000000000000000000000000000000000001111110000000000000000000011110000000000111100000000000000000000011111000000000000000000000000001111110000000,0,0
11,4,TypeC,29800,000000000000000000000000000000000000000000000000000000000001111110000000000000000000011110000000000111100000000000000000000011111000000000000000000000000001111110000000,0,0
12,1,TypeB,33200,000000000000000000000000111111110000000000000000000000000000111110000000000000000000000011111111000000000111111100000000000000000000011110000000000000000000000000000000,0,0
13,2,TypeB,33200,000000000000000000000000111111110000000000000000000000000000111110000000000000000000000011111111000000000111111100000000000000000000011110000000000000000000000000000000,0,0
14,3,TypeC,27200,000000000000000000000000000000000000000000000000000000000000111110000000000000000000011110000000000111100000000000000000000000000000011110000000000011111100000000000000,0,0
15,4,TypeC,27200,000000000000000000000000000000000000000000000000000000000000111110000000000000000000011110000000000111100000000000000000000000000000011110000000000011111100000000000000,0,0
16,0,TypeA,56200,000000000000000000000001111111111000000000000000000000011111111110000000000000000000000000000000000000111111111100000000000001111111110000000000000011111111110000000000,1,0
17,1,TypeB,37000,000000000000111111100000000000011111111000000000000000011111110000000000000000000000000011111111000000000111111100000000000000000000000000000000000000000000000000000000,1,0
18,2,TypeB,37000,000000000000111111100000000000011111111000000000000000011111110000000000000000000000000011111111000000000111111100000000000000000000000000000000000000000000000000000000,1,0
19,3,TypeC,28700,000000000000000000000000000000000000000000000000000000000000000000000000011111100000000000011111000000000000011100000000000000000000000011111100000000001111110000000000,1,0
20,4,TypeC,28700,000000000000000000000000000000000000000000000000000000000000000000000000011111100000000000011111000000000000011100000000000000000000000011111100000000001111110000000000,1,0
21,0,TypeA,48300,000000000000000000000000000000000000000000000000000000011111111110000000000000000000011111111100000000000111111110000000000000000000011111111100000000000000011111111100,0,0
22,1,TypeB,34200,000000000000000000000000000000011111111000000000001111111000000000000000000000000000011111110000000000000000011111110000000000000000011110000000000000000000000000000000,0,0
23,2,TypeB,34200,000000000000000000000000000000011111111000000000001111111000000000000000000000000000011111110000000000000000011111110000000000000000011110000000000000000000000000000000,0,0
24,3,TypeC,25800,000000111110000000000000000000000000000000000000000000000000000000000000011111100000000000011111000000000000000000000000000000000000011110000000000011110000000000000000,0,0
25,4,TypeC,25800,000000111110000000000000000000000000000000000000000000000000000000000000011111100000000000011111000000000000000000000000000000000000011110000000000011110000000000000000,0,0
26,0,TypeA,53700,000000001111111110000000000000000000000000000000000000011111111110000000000000000000000000000111111111100000000000000000000000001111111110000000000011111111110000000000,1,0
27,1,TypeB,33200,000000000000000000000000111111110000000000000000000000000001111110000000000000000000011111110000000000000000011111110000000000000000011110000000000000000000000000000000,0,0
28,2,TypeB,33200,000000000000000000000000111111110000000000000000000000000001111110000000000000000000011111110000000000000000011111110000000000000000011110000000000000000000000000000000,0,0
29,3,TypeC,29900,000000000000000000000000000000000000001111100000000000000000000000000000011111100000000000011111000000000000000000000000000000000000011110000000000000000001111110000000,0,0
30,4,TypeC,29900,000000000000000000000000000000000000001111100000000000000000000000000000011111100000000000011111000000000000000000000000000000000000011110000000000000000001111110000000,0,0
31,0,TypeA,55100,000000000000000000000001111111111000000000000000000000001111111110000000000000000000000000000111111111100000000000000000000000000000011111111100000000000000011111111100,0,0
32,1,TypeB,32200,000000000000000000111111100000000000000000000000000000000001111110000000000000000000011111110000000000000000011111110000000000000000011110000000000000000000000000000000,0,0
33,2,TypeB,32200,000000000000000000111111100000000000000000000000000000000001111110000000000000000000011111110000000000000000011111110000000000000000011110000000000000000000000000000000,0,0
34,3,TypeC,30600,000001111110000000000000000000000000000000000000000000000000000000000000011111100000000000011111000000000000000000000000000000000000011110000000000000000001111110000000,0,0
35,4,TypeC,30600,000001111110000000000000000000000000000000000000000000000000000000000000011111100000000000011111000000000000000000000000000000000000011110000000000000000001111110000000,0,0
36,0,TypeA,54600,000000000000001111111111000000000000000000111111111000000000000000000000000000000000000000000000000000111111111100000000000000001111111110000000000011111111110000000000,1,0
37,1,TypeB,33200,000000000000000000000000000000011111111000000000000000000001111110000000000000000000011111110000000000000000011111110000000000000000011110000000000000000000000000000000,0,0
38,2,TypeB,33200,000000000000000000000000000000011111111000000000000000000001111110000000000000000000011111110000000000000000011111110000000000000000011110000000000000000000000000000000,0,0
39,3,TypeC,23600,000001111000000000000000000000000000000000000000000000000000011110000000000000000000011110000000000111100000000000000000000000000000011110000000000000000000000000000000,0,0
40,4,TypeC,23600,000001111000000000000000000000000000000000000000000000000000011110000000000000000000011110000000000111100000000000000000000000000000011110000000000000000000000000000000,0,0
41,0,TypeA,47000,000000001111111110000000000000000000000000000000000000000000000000000000000000000000011111111100000000000111111110000000000000000000011111111100000000000000011111111100,0,0
42,1,TypeB,38000,000000001111111000000000000000011111111000000000000000011111110000000000000000111111110000000000000000111111110000000000000000000000000000000000000000000000000000000000,1,0
43,2,TypeB,38000,000000001111111000000000000000011111111000000000000000011111110000000000000000111111110000000000000000111111110000000000000000000000000000000000000000000000000000000000,1,0
44,3,TypeC,25800,000000000000000000000111100000000000000000000000000000000000011110000000000000000000011111000000000000000000011110000000000000000000011110000000000000000000000000000000,0,0
45,4,TypeC,25800,000000000000000000000111100000000000000000000000000000000000011110000000000000000000011111000000000000000000011110000000000000000000011110000000000000000000000000000000,0,0
46,0,TypeA,51000,000000000000000000000000000000000000000000111111111000000000000000000000000000000000011111111100000000000111111110000000000001111111110000000000000011111111110000000000,1,0
47,1,TypeB,36200,000000000000000000000000000000011111111000000000000000011111110000000000000000111111110000000000000000111111110000000000000000000000011110000000000000000000000000000000,0,0
48,2,TypeB,36200,000000000000000000000000000000011111111000000000000000011111110000000000000000111111110000000000000000111111110000000000000000000000011110000000000000000000000000000000,0,0
49,3,TypeC,27100,000000000000000000000000000000000000000000000000000000000000011110000000000000000000011110000000000111100000000000000000000000000000011110000000000000001111110000000000,0,0
50,4,TypeC,27100,000000000000000000000000000000000000000000000000000000000000011110000000000000000000011110000000000111100000000000000000000000000000011110000000000000001111110000000000,0,0
51,0,TypeA,54900,000000000000000000000001111111110000000000000000000000011111111110000000000000000000000000000000000000111111111100000000000001111111110000000000000011111111110000000000,0,0
52,1,TypeB,37800,000000000000000011111111000000000000000000000000011111111000000000000000000000000000000000000111111100000000011111110000000000001111110000000000000000000000000000000000,0,0
53,2,TypeB,37800,000000000000000011111111000000000000000000000000011111111000000000000000000000000000000000000111111100000000011111110000000000001111110000000000000000000000000000000000,0,0
