==========================================================
 ANALYSIS REPORT: Week 6
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 6,192,600.00
  Execution Time  : 45.0316 sec
  Iterations      : 146
  RMP Time (LP)   : 21.5158 s
  RMP Time (MIP)  : 1.7335 s
  Pool Search Time: 0.0006 s
  Graph Search Time: 21.7072 s
  MIP Decision Variables: 135 (Columns used in Final MIP)
  MIP Filtered Columns  : 605 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 740
  Pool Hits (Reused from History)   : 0
  Graph Gen (Newly Created)         : 730
  Pool Hit Rate                     : 0.0%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  147 / Total Gen:  147
       -> Avg Length of Unique Patterns: 48.2 hours
  Type: TypeB  | Unique Patterns:  147 / Total Gen:  294
       -> Avg Length of Unique Patterns: 37.0 hours
  Type: TypeC  | Unique Patterns:  147 / Total Gen:  294
       -> Avg Length of Unique Patterns: 25.2 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 50 hours worked
  Emp 1  (TypeB): 37 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 28 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 108,016,000.00  | 0          | 5         
2     | 52,127,900.00   | 0          | 5         
3     | 24,186,200.00   | 0          | 5         
4     | 19,179,400.00   | 0          | 5         
5     | 13,170,300.00   | 0          | 5         
6     | 9,175,600.00    | 0          | 5         
7     | 8,839,466.67    | 0          | 5         
8     | 8,508,466.71    | 0          | 5         
9     | 7,972,509.61    | 0          | 5         
10    | 7,177,633.34    | 0          | 5         
11    | 7,033,338.10    | 0          | 5         
12    | 6,937,443.46    | 0          | 5         
13    | 6,581,957.44    | 0          | 5         
14    | 6,373,749.31    | 0          | 5         
15    | 6,098,599.63    | 0          | 5         
16    | 5,832,145.23    | 0          | 5         
17    | 5,762,815.51    | 0          | 5         
18    | 5,677,480.82    | 0          | 5         
19    | 5,552,986.51    | 0          | 5         
20    | 5,443,362.53    | 0          | 5         
21    | 5,181,781.36    | 0          | 5         
22    | 5,013,467.97    | 0          | 5         
23    | 4,863,849.81    | 0          | 5         
24    | 4,678,386.13    | 0          | 5         
25    | 4,407,167.35    | 0          | 5         
26    | 4,084,222.33    | 0          | 5         
27    | 3,762,932.59    | 0          | 5         
28    | 3,593,944.68    | 0          | 5         
29    | 3,402,384.40    | 0          | 5         
30    | 3,333,510.34    | 0          | 5         
31    | 3,283,474.51    | 0          | 5         
32    | 3,151,155.14    | 0          | 5         
33    | 3,083,721.14    | 0          | 5         
34    | 2,922,817.56    | 0          | 5         
35    | 2,892,768.36    | 0          | 5         
36    | 2,839,650.59    | 0          | 5         
37    | 2,784,502.75    | 0          | 5         
38    | 2,691,851.09    | 0          | 5         
39    | 2,606,137.83    | 0          | 5         
40    | 2,543,722.37    | 0          | 5         
41    | 2,504,470.95    | 0          | 5         
42    | 2,493,787.83    | 0          | 5         
43    | 2,434,839.49    | 0          | 5         
44    | 2,377,110.21    | 0          | 5         
45    | 2,339,106.68    | 0          | 5         
46    | 2,320,615.96    | 0          | 5         
47    | 2,285,501.35    | 0          | 5         
48    | 2,258,966.71    | 0          | 5         
49    | 2,231,740.93    | 0          | 5         
50    | 2,216,811.39    | 0          | 5         
51    | 2,198,401.77    | 0          | 5         
52    | 2,181,339.33    | 0          | 5         
53    | 2,166,182.08    | 0          | 5         
54    | 2,160,773.40    | 0          | 5         
55    | 2,144,396.16    | 0          | 5         
56    | 2,101,744.07    | 0          | 5         
57    | 2,046,044.15    | 0          | 5         
58    | 1,923,321.81    | 0          | 5         
59    | 1,910,948.62    | 0          | 5         
60    | 1,890,623.77    | 0          | 5         
61    | 1,856,169.02    | 0          | 5         
62    | 1,846,167.37    | 0          | 5         
63    | 1,834,761.84    | 0          | 5         
64    | 1,826,700.33    | 0          | 5         
65    | 1,817,608.92    | 0          | 5         
66    | 1,805,852.17    | 0          | 5         
67    | 1,796,074.08    | 0          | 5         
68    | 1,793,466.10    | 0          | 5         
69    | 1,783,199.54    | 0          | 5         
70    | 1,780,768.75    | 0          | 5         
71    | 1,767,805.63    | 0          | 5         
72    | 1,745,990.29    | 0          | 5         
73    | 1,740,293.06    | 0          | 5         
74    | 1,734,932.10    | 0          | 5         
75    | 1,734,932.11    | 0          | 5         
76    | 1,715,494.13    | 0          | 5         
77    | 1,702,945.43    | 0          | 5         
78    | 1,665,967.96    | 0          | 5         
79    | 1,660,372.67    | 0          | 5         
80    | 1,647,820.62    | 0          | 5         
81    | 1,645,600.50    | 0          | 5         
82    | 1,641,051.82    | 0          | 5         
83    | 1,639,889.30    | 0          | 5         
84    | 1,639,539.37    | 0          | 5         
85    | 1,639,091.34    | 0          | 5         
86    | 1,634,755.06    | 0          | 5         
87    | 1,630,332.77    | 0          | 5         
88    | 1,623,953.47    | 0          | 5         
89    | 1,622,136.67    | 0          | 5         
90    | 1,619,070.54    | 0          | 5         
91    | 1,618,429.52    | 0          | 5         
92    | 1,618,340.52    | 0          | 5         
93    | 1,617,738.95    | 0          | 5         
94    | 1,615,038.11    | 0          | 5         
95    | 1,614,067.10    | 0          | 5         
96    | 1,612,473.40    | 0          | 5         
97    | 1,611,786.61    | 0          | 5         
98    | 1,610,814.42    | 0          | 5         
99    | 1,605,523.32    | 0          | 5         
100   | 1,602,138.75    | 0          | 5         
101   | 1,595,024.26    | 0          | 5         
102   | 1,592,919.03    | 0          | 5         
103   | 1,591,443.90    | 0          | 5         
104   | 1,587,849.82    | 0          | 5         
105   | 1,587,849.82    | 0          | 5         
106   | 1,587,270.08    | 0          | 5         
107   | 1,586,441.03    | 0          | 5         
108   | 1,582,745.30    | 0          | 5         
109   | 1,579,198.52    | 0          | 5         
110   | 1,579,198.52    | 0          | 5         
111   | 1,576,962.40    | 0          | 5         
112   | 1,576,962.40    | 0          | 5         
113   | 1,575,606.02    | 0          | 5         
114   | 1,573,314.34    | 0          | 5         
115   | 1,573,074.52    | 0          | 5         
116   | 1,570,317.26    | 0          | 5         
117   | 1,570,317.26    | 0          | 5         
118   | 1,563,866.65    | 0          | 5         
119   | 1,562,402.76    | 0          | 5         
120   | 1,557,498.95    | 0          | 5         
121   | 1,555,510.32    | 0          | 5         
122   | 1,554,716.59    | 0          | 5         
123   | 1,554,716.59    | 0          | 5         
124   | 1,552,666.50    | 0          | 5         
125   | 1,550,571.39    | 0          | 5         
126   | 1,550,571.39    | 0          | 5         
