col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
0,4,TypeC,25600,000000000000000000000000000111110000000000000000000000000000011100000000000000000011110000000000000000000000000000000000000000000000011111100000000000111100000000000000,0,0
1,0,TypeA,55100,000000000000000000000000000111111111100000000000000000111111111100000000000001111111110000000000001111111110000000000000000000000000000000000000001111111110000000000000,0,0
2,1,TypeB,33500,000000000000000000000000000000000001111100000000000000000000111100000000000000000011110000000000000000000000000000000001111111100000000000000000000000111111110000000000,0,0
3,2,TypeB,33500,000000000000000000000000000000000001111100000000000000000000111100000000000000000011110000000000000000000000000000000001111111100000000000000000000000111111110000000000,0,0
4,3,TypeC,30600,000000000000000000000000000000000001111100000000000000000000111100000000000000000011110000000000000000000000000000000000000000000000011111100000000000000111110000000000,0,0
5,4,TypeC,30600,000000000000000000000000000000000001111100000000000000000000111100000000000000000011110000000000000000000000000000000000000000000000011111100000000000000111110000000000,0,0
6,0,TypeA,57600,000000000001111111111000000000000000000000000000000000000000000000000111111111000000000000000000111111111100000000000001111111110000000000000000000000000000111111111100,0,0
7,1,TypeB,36500,000000000000000000000000000000000000000000000000000000000000111100000000000000000011110000000000001111111100000000000001111111100000000000000000001111111100000000000000,0,0
8,2,TypeB,36500,000000000000000000000000000000000000000000000000000000000000111100000000000000000011110000000000001111111100000000000001111111100000000000000000001111111100000000000000,0,0
9,3,TypeC,25600,000000000000000000000000000011110000000000000000000111111000000000000000011111100000000000000001111000000000000000000000000000111110000000000000000000000000000000000000,0,0
10,4,TypeC,25600,000000000000000000000000000011110000000000000000000111111000000000000000011111100000000000000001111000000000000000000000000000111110000000000000000000000000000000000000,0,0
11,0,TypeA,50500,001111111111000000000000000000011111111100000000000000000000000000000000000000000011111111110000000000000000011111111000000000000000000000000000000000000000011111111100,0,0
12,1,TypeB,36800,000000000000000000000000000000000000000000000000000000000000111100000000000000000011110000000000000000000000011111111000000000111111110000000000000000111111110000000000,0,0
13,2,TypeB,36800,000000000000000000000000000000000000000000000000000000000000111100000000000000000011110000000000000000000000011111111000000000111111110000000000000000111111110000000000,0,0
14,3,TypeC,25600,000000000000000000000000000111110000000000000000000000000000111100000000000000000011110000000000000000000000000000000000000000000000011110000000000000000000000001111100,0,0
15,4,TypeC,25600,000000000000000000000000000111110000000000000000000000000000111100000000000000000011110000000000000000000000000000000000000000000000011110000000000000000000000001111100,0,0
16,0,TypeA,49000,000000000001111111111000000000000000000000000000000000011111111100000000000001111111110000000000000000000011111111000000000000011111111110000000000000000000000000000000,0,0
17,1,TypeB,29100,000000000000000000000000000000000000111100000000000000000000111100000000000000000011110000000000000000000000000011111111000000000011111110000000000000000000000000000000,0,0
18,2,TypeB,29100,000000000000000000000000000000000000111100000000000000000000111100000000000000000011110000000000000000000000000011111111000000000011111110000000000000000000000000000000,0,0
19,3,TypeC,28400,000000000111111000000000000111110000000000000000000000000000111100000000000000000011110000000000000000000000000000000000000000000000011110000000000000000000000000000000,0,0
20,4,TypeC,28400,000000000111111000000000000111110000000000000000000000000000111100000000000000000011110000000000000000000000000000000000000000000000011110000000000000000000000000000000,0,0
21,0,TypeA,51200,000000000000000000000000000000011111111100000000000000000000000000000000000001111111110000000000000000011111111110000000000000111111111100000000000000000000011111111100,0,0
22,1,TypeB,35500,000000000000000000000000000000000000000000000000000000000000111100000000000000000011110000000000000000000000011111111000000000000011111110000000000111111110000000000000,0,0
23,2,TypeB,35500,000000000000000000000000000000000000000000000000000000000000111100000000000000000011110000000000000000000000011111111000000000000011111110000000000111111110000000000000,0,0
24,3,TypeC,25800,000000000000000000000000000111110000000000000000000000000000111100000000000000000011110000000000000000000000011110000000000000000000011110000000000000000000000000000000,0,0
25,4,TypeC,25800,000000000000000000000000000111110000000000000000000000000000111100000000000000000011110000000000000000000000011110000000000000000000011110000000000000000000000000000000,0,0
26,0,TypeA,49900,000000000000000000000000000001111111111000000000000000111111111100000000000001111111110000000000000000000000011111111000000000000011111111100000000000000000000000000000,0,0
27,1,TypeB,33100,000000000000000000000000000000011111111000000000000000000000111100000000000000000011110000000000000000000000011111111000000000000011111110000000000000000000000000000000,0,0
28,2,TypeB,33100,000000000000000000000000000000011111111000000000000000000000111100000000000000000011110000000000000000000000011111111000000000000011111110000000000000000000000000000000,0,0
