col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
0,1,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
1,1,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
2,2,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
3,2,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
4,3,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
5,3,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
6,4,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
7,4,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
8,0,TypeA,54800,000000000000000000000000000000000000000001111111100000000000001111111111000000000000011111111100000000000000000000000011111111110000000000000000000000011111111110000000,0,0
9,0,TypeA,51900,000000001111111111000000000000000000011111111110000000000000111111111000000000001111111110000000000011111111110000000000000000000000000000000000000000000000000000000000,0,0
10,0,TypeA,50100,000000111111111000000000000000000000000001111111100000000000111111111100000000000000011111111100000000000000000000000000000000011111111100000000000000000000000000000000,0,0
11,0,TypeA,55400,000000001111111111000000000000000000011111111110000000000000000001111111111000000000000000000000000000011111111110000000000000111111111100000000000000000000000000000000,0,0
12,0,TypeA,51500,000000001111111111000000000001111111110000000000000000000000001111111111000000000000011111111100000000000000000000000000000000011111111100000000000000000000000000000000,0,0
13,0,TypeA,60300,111111111100000000000000000000000000011111111110000000000000000000000001111111111000000000001111111110000000000000000000111111111000000000000000000000000000000000000000,0,0
14,1,TypeB,36500,000000011111111000000000000000000000000000111111100000000000000000000000000011111110000000000111111110000000000000000000000011111000000000000000000000000000000000000000,0,0
15,2,TypeB,36500,000000011111111000000000000000000000000000111111100000000000000000000000000011111110000000000111111110000000000000000000000011111000000000000000000000000000000000000000,0,0
16,1,TypeB,40600,111111100000000000000000000000000000000000000000000000000000000000011111111000000000011111111000000000000000000000000011111110000000000000000000000000000000000011111110,0,0
17,2,TypeB,40600,111111100000000000000000000000000000000000000000000000000000000000011111111000000000011111111000000000000000000000000011111110000000000000000000000000000000000011111110,0,0
18,0,TypeA,54400,000000000000000000000000000001111111110000000000000000001111111111000000000000000000000000000000000011111111110000000000000001111111111000000000000001111111111000000000,0,0
19,1,TypeB,44800,000000000011111111000000000000000001111111100000000000000000000000000000000000000000000000000000000000011111111000000000000001111111100000000000000000011111111000000000,0,0
20,2,TypeB,44800,000000000011111111000000000000000001111111100000000000000000000000000000000000000000000000000000000000011111111000000000000001111111100000000000000000011111111000000000,0,0
21,1,TypeB,38400,000000000000000000000000001111111000000000011111100000000000000000000000000000000000011111111000000000011111110000000000000000001111111100000000000000000000000000000000,0,0
22,2,TypeB,38400,000000000000000000000000001111111000000000011111100000000000000000000000000000000000011111111000000000011111110000000000000000001111111100000000000000000000000000000000,0,0
23,1,TypeB,40100,000000111111110000000000000000000000000000000000000000011111111000000000001111111000000000000111111110000000000000000000000000000000000000000111111100000000000000000000,0,0
24,2,TypeB,40100,000000111111110000000000000000000000000000000000000000011111111000000000001111111000000000000111111110000000000000000000000000000000000000000111111100000000000000000000,0,0
25,3,TypeC,32300,000000111110000000000000000000000000011111100000000000011111100000000000001111110000000000000000000011111100000000000000000000000000000000000000000000000000000000000000,0,0
26,4,TypeC,32300,000000111110000000000000000000000000011111100000000000011111100000000000001111110000000000000000000011111100000000000000000000000000000000000000000000000000000000000000,0,0
27,1,TypeB,38700,000000011111111000000000000000000000000000000000000000000000111111110000000000000000011111111000000000000000000000000111100000000000000111111110000000000000000000000000,0,0
28,2,TypeB,38700,000000011111111000000000000000000000000000000000000000000000111111110000000000000000011111111000000000000000000000000111100000000000000111111110000000000000000000000000,0,0
29,1,TypeB,43800,111111100000000000000000000000001111111100000000000000000000000000000000000000000000000000000111111110000000000000000000000000001111111100000000000000011111111000000000,0,0
30,2,TypeB,43800,111111100000000000000000000000001111111100000000000000000000000000000000000000000000000000000111111110000000000000000000000000001111111100000000000000011111111000000000,0,0
31,3,TypeC,29400,000000000000011111000000000000001111110000000000000000001111110000000000000000000000011110000000000000000000000000000011100000000000000000000000000000000000000000000000,0,0
32,4,TypeC,29400,000000000000011111000000000000001111110000000000000000001111110000000000000000000000011110000000000000000000000000000011100000000000000000000000000000000000000000000000,0,0
33,1,TypeB,38600,000000111111110000000000001111111000000000000000000000011111111000000000000000000000000000000000000000000000000000000000000011111000000000000000000001111111000000000000,0,0
34,2,TypeB,38600,000000111111110000000000001111111000000000000000000000011111111000000000000000000000000000000000000000000000000000000000000011111000000000000000000001111111000000000000,0,0
35,0,TypeA,52000,111111111100000000000000000000000000000000000000000000000000111111111000000000001111111110000000000000000000000000000000000000000000001111111110000000000000001111111110,0,0
36,1,TypeB,40500,111111100000000000000000000000000000000000000000000000000000000001111111000000000011111110000000000000000000000000000000000000000000000111111110000000000000000011111110,0,0
37,2,TypeB,40500,111111100000000000000000000000000000000000000000000000000000000001111111000000000011111110000000000000000000000000000000000000000000000111111110000000000000000011111110,0,0
38,0,TypeA,51500,000000000111111111000000000000000000000000000000000000000000000000000000000000001111111110000000000011111111110000000000000000111111111100000000000111111111000000000000,0,0
39,1,TypeB,43800,000000000000000000000000000000000000000000000000000000011111111000000000000011111110000000000000000000000111111110000000000000001111111100000000000000011111111000000000,0,0
40,2,TypeB,43800,000000000000000000000000000000000000000000000000000000011111111000000000000011111110000000000000000000000111111110000000000000001111111100000000000000011111111000000000,0,0
41,0,TypeA,54100,111111111100000000000000000000000000000000000000000000001111111111000000000000000000000000000000000000011111111110000000000000111111111000000000000000000001111111111000,0,0
42,1,TypeB,43900,000000000000000000000000000000000000000000000000000000000000111111000000000000000000011111111000000000000000000000000000111111110000000000000111111100000000011111111000,0,0
43,2,TypeB,43900,000000000000000000000000000000000000000000000000000000000000111111000000000000000000011111111000000000000000000000000000111111110000000000000111111100000000011111111000,0,0
44,0,TypeA,57600,111111111100000000000000000000000000000000000000000000000000000000001111111110000000000011111111100000000000000000000000000001111111111000000000000001111111111000000000,0,0
45,0,TypeA,58100,000000000000000000000001111111111000000000000000000000000000111111111000000000000000000000001111111110000000000000000011111111110000000000000000000111111111000000000000,0,0
46,0,TypeA,56900,000000000000000000000001111111110000000000000000000000000000000000000011111111110000000000001111111110000000000000000000000000111111111000000000000000011111111110000000,0,0
47,1,TypeB,43800,000000011111111000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000111111110000000000000011111111000000000000000011111111000000000,0,0
48,2,TypeB,43800,000000011111111000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000111111110000000000000011111111000000000000000011111111000000000,0,0
49,0,TypeA,53500,000000000000000000000000000000000000011111111110000000000000011111111100000000000000000000001111111110000000000000000000000000111111111000000000000111111111000000000000,0,0
50,1,TypeB,41100,000000000000000000000000000000000001111111100000000000000000001111111100000000000000011111111000000000000111111110000000000000000000000000000111111100000000000000000000,0,0
51,2,TypeB,41100,000000000000000000000000000000000001111111100000000000000000001111111100000000000000011111111000000000000111111110000000000000000000000000000111111100000000000000000000,0,0
52,0,TypeA,53600,000000000000000000000000000000000000011111111110000000000000000000000111111110000000000000000000000000011111111110000000000000000000011111111110000000000000001111111110,0,0
53,1,TypeB,40500,000000000000000000000000000000000000000000001111100000000000000000000111111110000000000000000000000000000111111110000000000000000000000111111110000000000000000011111110,0,0
54,2,TypeB,40500,000000000000000000000000000000000000000000001111100000000000000000000111111110000000000000000000000000000111111110000000000000000000000111111110000000000000000011111110,0,0
55,0,TypeA,51600,000000000000000000000000000000000000011111111000000000000000000000000000000000011111111110000000000000011111111110000000000000000000011111111110000000000001111111111000,0,0
56,1,TypeB,42400,000000000011111111000000000000000000011111111000000000000000000000000000000000000000011111111000000000000111111110000000000000000000000000000000000000011111111000000000,0,0
57,2,TypeB,42400,000000000011111111000000000000000000011111111000000000000000000000000000000000000000011111111000000000000111111110000000000000000000000000000000000000011111111000000000,0,0
58,3,TypeC,31300,000000000011111000000000000000000000000000011111100000000000000000000000000000000000000000001111100000000000000000000000000000000000000001111110000000000001111110000000,0,0
59,4,TypeC,31300,000000000011111000000000000000000000000000011111100000000000000000000000000000000000000000001111100000000000000000000000000000000000000001111110000000000001111110000000,0,0
60,0,TypeA,55700,000000000000000000000001111111110000000000000000000000001111111111000000000000111111111000000000000000000000000000000011111111110000000000000000000111111111000000000000,0,0
61,1,TypeB,42500,000000000000000000000000000000000000000000111111100000000000000000000000000000011111111000000000000000000111111110000000000000111111110000000000000001111111000000000000,0,0
62,2,TypeB,42500,000000000000000000000000000000000000000000111111100000000000000000000000000000011111111000000000000000000111111110000000000000111111110000000000000001111111000000000000,0,0
63,1,TypeB,36600,000000000000000000000000000000000000000000000000000000001111111000000000000000000000011111100000000000000111111110000000000011111000000000000111111100000000000000000000,0,0
64,2,TypeB,36600,000000000000000000000000000000000000000000000000000000001111111000000000000000000000011111100000000000000111111110000000000011111000000000000111111100000000000000000000,0,0
65,1,TypeB,41400,000000000000000000000001111111000000000000000000000000000000000000000011111111000000000000000111111110000000000011111111000000000000000111111110000000000000000000000000,0,0
66,2,TypeB,41400,000000000000000000000001111111000000000000000000000000000000000000000011111111000000000000000111111110000000000011111111000000000000000111111110000000000000000000000000,0,0
67,3,TypeC,26500,000000000000000000000000001111110000000000000000000000000000000000000111111000000000011110000000000011111100000000000011100000000000000000000000000000000000000000000000,0,0
68,4,TypeC,26500,000000000000000000000000001111110000000000000000000000000000000000000111111000000000011110000000000011111100000000000011100000000000000000000000000000000000000000000000,0,0
69,0,TypeA,57000,000000000000000000000001111111111000000000000000000000000000001111111111000000000000000011111111100000000000000000000000000000111111111100000000000111111111000000000000,0,0
70,3,TypeC,26700,000000000111111000000000000000000000000000000000000000000000000000000000001111110000000000000111100000000000000000000000000000000000011100000000000111110000000000000000,0,0
71,4,TypeC,26700,000000000111111000000000000000000000000000000000000000000000000000000000001111110000000000000111100000000000000000000000000000000000011100000000000111110000000000000000,0,0
72,1,TypeB,40500,000000000000000000000001111111000000000000000000000000001111111000000000000000000000000000111111100000000000000000000000111111110000000000000000000000000000000011111110,0,0
73,2,TypeB,40500,000000000000000000000001111111000000000000000000000000001111111000000000000000000000000000111111100000000000000000000000111111110000000000000000000000000000000011111110,0,0
74,3,TypeC,34700,000000000111111000000000000000000000011111100000000000000000000000000000000000000000011111100000000000000111110000000000000000000000000001111110000000000000000000000000,0,0
75,4,TypeC,34700,000000000111111000000000000000000000011111100000000000000000000000000000000000000000011111100000000000000111110000000000000000000000000001111110000000000000000000000000,0,0
76,0,TypeA,52800,111111111100000000000000000000000000000000000000000000000000111111111000000000000011111111100000000000000000000000000000000000111111111100000000000000011111111110000000,0,0
77,1,TypeB,43800,111111110000000000000000000000000000000000111111100000000000011111111000000000000000000000000000000000000000000000000000000000000000001111111100000000011111111000000000,0,0
78,2,TypeB,43800,111111110000000000000000000000000000000000111111100000000000011111111000000000000000000000000000000000000000000000000000000000000000001111111100000000011111111000000000,0,0
79,0,TypeA,53600,111111111100000000000000000000011111111100000000000000001111111100000000000011111111110000000000000011111111110000000000000000000000000000000000000000000000000000000000,0,0
80,1,TypeB,37000,111111110000000000000000000000011111110000000000000000001111111000000000000000000000011111111000000000011111110000000000000000000000000000000000000000000000000000000000,0,0
81,2,TypeB,37000,111111110000000000000000000000011111110000000000000000001111111000000000000000000000011111111000000000011111110000000000000000000000000000000000000000000000000000000000,0,0
82,0,TypeA,62500,111111111100000000000001111111111000000000000000000000000000000000001111111111000000000000000000000000000000000000000011111111110000000000000000000111111111000000000000,0,0
83,1,TypeB,40200,000000000000000000000000000000000000000000011111100000000000000000000011111111000000000000000000000000011111111000000000000000000000000000000111111100000000000011111110,0,0
84,2,TypeB,40200,000000000000000000000000000000000000000000011111100000000000000000000011111111000000000000000000000000011111111000000000000000000000000000000111111100000000000011111110,0,0
