col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected
0,1,TypeB,38400,000000000000000000001111111100000000000000000000000000000011110000000000011111111000000000000000000000000000011111111000000000111111110000000000000000000000000000000000,0,0
1,2,TypeB,38400,000000000000000000001111111100000000000000000000000000000011110000000000011111111000000000000000000000000000011111111000000000111111110000000000000000000000000000000000,0,0
2,0,TypeA,49900,000000000000011111111110000000000000000000000000000000000000000000000000000000001111111110000000000000001111111110000000000000111111110000000000000000000000011111111110,0,0
3,1,TypeB,33500,000000000000000011111110000000000000000000000000000000000000011111100000000000000011111110000000000000001111111000000000000000000000111110000000000000000000000000000000,0,0
4,2,TypeB,33500,000000000000000011111110000000000000000000000000000000000000011111100000000000000011111110000000000000001111111000000000000000000000111110000000000000000000000000000000,0,0
5,3,TypeC,26200,000000000000000000000000000000000000011110000000000000000000011111100000000000000000000000000001110000000000000000000000000000111100000000000000000000000001111100000000,0,0
6,4,TypeC,26200,000000000000000000000000000000000000011110000000000000000000011111100000000000000000000000000001110000000000000000000000000000111100000000000000000000000001111100000000,0,0
7,0,TypeA,51300,000000000000011111111110000000000000000000000000000000000011111111100000000000001111111110000000000000000001111111111000000000000000000000000000000000000000011111111110,0,0
8,1,TypeB,37600,000000000000000000001111111100000000000000000000000000000000011111100000000000000000000011111111000000000000000000000000000000000000111110000000000000000111111100000000,0,0
9,2,TypeB,37600,000000000000000000001111111100000000000000000000000000000000011111100000000000000000000011111111000000000000000000000000000000000000111110000000000000000111111100000000,0,0
10,3,TypeC,27200,000000000000000000000000000000000000011110000000000000000000011111100000000000000000000000000001110000000000000000000000000000111100000000000000000000001111110000000000,0,0
11,4,TypeC,27200,000000000000000000000000000000000000011110000000000000000000011111100000000000000000000000000001110000000000000000000000000000111100000000000000000000001111110000000000,0,0
12,0,TypeA,48900,000001111111110000000000000000001111111110000000000000000000000000000000000000001111111110000000000000000000000000000000000000111111110000000000000000000000011111111110,0,0
