col_id,emp_id,emp_type,cost,schedule_pattern
0,0,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,0,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,1,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,1,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,2,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,2,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,3,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,3,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,4,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,4,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,5,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,5,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,6,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,6,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,7,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15,7,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,8,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,8,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18,9,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,9,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,10,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21,10,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
22,11,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,11,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
24,12,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25,12,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26,13,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27,13,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28,14,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
29,14,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
30,0,TypeA,50000,000000000000000000000000000000000000000000000000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000
31,1,TypeA,50000,000000000000000000000000000000000000000000000000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000
32,2,TypeA,50000,000000000000000000000000000000000000000000000000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000000000000111111111100000
33,3,TypeB,42400,000000000000000000000000000000000000011111111000000000000000000111111110000000000000011111111000000000000000001111111100000000000000000000000000000000000000001111111100
34,4,TypeB,42400,000000000000000000000000000000000000011111111000000000000000000111111110000000000000011111111000000000000000001111111100000000000000000000000000000000000000001111111100
35,5,TypeB,42400,000000000000000000000000000000000000011111111000000000000000000111111110000000000000011111111000000000000000001111111100000000000000000000000000000000000000001111111100
36,6,TypeB,42400,000000000000000000000000000000000000011111111000000000000000000111111110000000000000011111111000000000000000001111111100000000000000000000000000000000000000001111111100
37,7,TypeB,42400,000000000000000000000000000000000000011111111000000000000000000111111110000000000000011111111000000000000000001111111100000000000000000000000000000000000000001111111100
38,8,TypeB,42400,000000000000000000000000000000000000011111111000000000000000000111111110000000000000011111111000000000000000001111111100000000000000000000000000000000000000001111111100
39,9,TypeC,30900,000000000000000000000000000111111000000000000000000000000000000001111110000000000000000000000000000011111100000000000000000001111110000000000000000111111000000000000000
40,10,TypeC,30900,000000000000000000000000000111111000000000000000000000000000000001111110000000000000000000000000000011111100000000000000000001111110000000000000000111111000000000000000
41,11,TypeC,30900,000000000000000000000000000111111000000000000000000000000000000001111110000000000000000000000000000011111100000000000000000001111110000000000000000111111000000000000000
42,12,TypeC,30900,000000000000000000000000000111111000000000000000000000000000000001111110000000000000000000000000000011111100000000000000000001111110000000000000000111111000000000000000
43,13,TypeC,30900,000000000000000000000000000111111000000000000000000000000000000001111110000000000000000000000000000011111100000000000000000001111110000000000000000111111000000000000000
44,14,TypeC,30900,000000000000000000000000000111111000000000000000000000000000000001111110000000000000000000000000000011111100000000000000000001111110000000000000000111111000000000000000
45,0,TypeA,52500,000000000111111111100000000000000111111110000000000011111111110000000000011111111110000000000000000000000000000000000000000000000001111111111000000000000000000000000000
46,1,TypeA,52500,000000000111111111100000000000000111111110000000000011111111110000000000011111111110000000000000000000000000000000000000000000000001111111111000000000000000000000000000
47,2,TypeA,52500,000000000111111111100000000000000111111110000000000011111111110000000000011111111110000000000000000000000000000000000000000000000001111111111000000000000000000000000000
48,3,TypeB,38800,000000000000011111111000000000000111111100000000000000011111111000000000000000111111110000000000000000000000000000000000000000000001111110000000000000000000000000000000
49,4,TypeB,38800,000000000000011111111000000000000111111100000000000000011111111000000000000000111111110000000000000000000000000000000000000000000001111110000000000000000000000000000000
50,5,TypeB,38800,000000000000011111111000000000000111111100000000000000011111111000000000000000111111110000000000000000000000000000000000000000000001111110000000000000000000000000000000
51,6,TypeB,38800,000000000000011111111000000000000111111100000000000000011111111000000000000000111111110000000000000000000000000000000000000000000001111110000000000000000000000000000000
52,7,TypeB,38800,000000000000011111111000000000000111111100000000000000011111111000000000000000111111110000000000000000000000000000000000000000000001111110000000000000000000000000000000
53,8,TypeB,38800,000000000000011111111000000000000111111100000000000000011111111000000000000000111111110000000000000000000000000000000000000000000001111110000000000000000000000000000000
54,9,TypeC,34800,000000000000000111111000000000000011111100000000000111111000000000000000000001111110000000000000000000000000000000000000000000000001111110000000000000000000000000000000
55,10,TypeC,34800,000000000000000111111000000000000011111100000000000111111000000000000000000001111110000000000000000000000000000000000000000000000001111110000000000000000000000000000000
56,11,TypeC,34800,000000000000000111111000000000000011111100000000000111111000000000000000000001111110000000000000000000000000000000000000000000000001111110000000000000000000000000000000
57,12,TypeC,34800,000000000000000111111000000000000011111100000000000111111000000000000000000001111110000000000000000000000000000000000000000000000001111110000000000000000000000000000000
58,13,TypeC,34800,000000000000000111111000000000000011111100000000000111111000000000000000000001111110000000000000000000000000000000000000000000000001111110000000000000000000000000000000
59,14,TypeC,34800,000000000000000111111000000000000011111100000000000111111000000000000000000001111110000000000000000000000000000000000000000000000001111110000000000000000000000000000000
60,0,TypeA,49800,000001111111111000000000000000000000000000000000000000111111111100000000000000000000000000000000000000011111111100000000000111111110000000000000000000001111111100000000
61,1,TypeA,49800,000001111111111000000000000000000000000000000000000000111111111100000000000000000000000000000000000000011111111100000000000111111110000000000000000000001111111100000000
62,2,TypeA,49800,000001111111111000000000000000000000000000000000000000111111111100000000000000000000000000000000000000011111111100000000000111111110000000000000000000001111111100000000
63,3,TypeB,35800,000000011111111000000000000000000000000000000000000111111000000000000000111111000000000000000000000000001111111100000000000000000000000000000000000000001111110000000000
64,4,TypeB,35800,000000011111111000000000000000000000000000000000000111111000000000000000111111000000000000000000000000001111111100000000000000000000000000000000000000001111110000000000
65,5,TypeB,35800,000000011111111000000000000000000000000000000000000111111000000000000000111111000000000000000000000000001111111100000000000000000000000000000000000000001111110000000000
66,6,TypeB,35800,000000011111111000000000000000000000000000000000000111111000000000000000111111000000000000000000000000001111111100000000000000000000000000000000000000001111110000000000
67,7,TypeB,35800,000000011111111000000000000000000000000000000000000111111000000000000000111111000000000000000000000000001111111100000000000000000000000000000000000000001111110000000000
68,8,TypeB,35800,000000011111111000000000000000000000000000000000000111111000000000000000111111000000000000000000000000001111111100000000000000000000000000000000000000001111110000000000
69,9,TypeC,32300,000001111110000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000011111100000000001111100000000000000000000000000001111110000000000
70,10,TypeC,32300,000001111110000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000011111100000000001111100000000000000000000000000001111110000000000
71,11,TypeC,32300,000001111110000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000011111100000000001111100000000000000000000000000001111110000000000
72,12,TypeC,32300,000001111110000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000011111100000000001111100000000000000000000000000001111110000000000
73,13,TypeC,32300,000001111110000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000011111100000000001111100000000000000000000000000001111110000000000
74,14,TypeC,32300,000001111110000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000011111100000000001111100000000000000000000000000001111110000000000
75,0,TypeA,48300,000000111111111100000000000000111111111000000000000000000000000000000000000000001111111100000000000000000000000000000000000000001111111100000000000000111111111100000000
76,1,TypeA,48300,000000111111111100000000000000111111111000000000000000000000000000000000000000001111111100000000000000000000000000000000000000001111111100000000000000111111111100000000
77,2,TypeA,48300,000000111111111100000000000000111111111000000000000000000000000000000000000000001111111100000000000000000000000000000000000000001111111100000000000000111111111100000000
78,3,TypeB,41800,000000000111111100000000000000111111100000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000011111111000000000111111110000000000
79,4,TypeB,41800,000000000111111100000000000000111111100000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000011111111000000000111111110000000000
80,5,TypeB,41800,000000000111111100000000000000111111100000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000011111111000000000111111110000000000
81,6,TypeB,41800,000000000111111100000000000000111111100000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000011111111000000000111111110000000000
82,7,TypeB,41800,000000000111111100000000000000111111100000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000011111111000000000111111110000000000
83,8,TypeB,41800,000000000111111100000000000000111111100000000000000000000000000000000000000000001111111000000000000000000000000000000000000000000000011111111000000000111111110000000000
84,9,TypeC,28900,000000000111110000000000000000111100000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000111111000000000000111110000000000
85,10,TypeC,28900,000000000111110000000000000000111100000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000111111000000000000111110000000000
86,11,TypeC,28900,000000000111110000000000000000111100000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000111111000000000000111110000000000
87,12,TypeC,28900,000000000111110000000000000000111100000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000111111000000000000111110000000000
88,13,TypeC,28900,000000000111110000000000000000111100000000000000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000111111000000000000111110000000000
